Results,Year,Age,Previous marathons,GDP,Weight,Height,Last Time
7605.0,2016,35,12,70529014778.3251,,,7653.0
7621.0,2010,35,12,39999659233.7555,,,
7636.0,2011,35,12,41953433591.4101,,,7621.0
7639.0,2013,35,12,55097343447.5616,,,7673.0
7653.0,2016,35,12,70529014778.3251,,,7579.0
7673.0,2013,35,12,55097343447.5616,,,7600.0
7678.0,2014,35,12,61445345999.0765,,,7639.0
7690.0,2017,35,12,,,,7605.0
7581.0,2012,29,3,43310721414.0829,,,
7626.0,2014,29,3,55612228233.5179,,,7581.0
7697.0,2016,29,3,72374224249.3997,,,7626.0
7581.0,2017,33,2,,,,7644.0
7644.0,2016,33,2,70529014778.3251,,,
7582.0,2016,27,1,72374224249.3997,,,
7583.0,2004,43,2,16095337093.8366,,,
7657.0,2006,43,2,25825524820.8064,,,7583.0
7584.0,2012,35,1,43310721414.0829,,,
7584.0,2014,39,5,61445345999.0765,,,7664.0
7657.0,2016,39,5,70529014778.3251,,,7701.0
7664.0,2013,39,5,55097343447.5616,,,7675.0
7675.0,2011,39,5,41953433591.4101,,,
7701.0,2015,39,5,63767539356.6051,,,7584.0
7585.0,2008,39,2,35895153327.8497,,,
7697.0,2011,39,2,41953433591.4101,,,7585.0
7586.0,2009,38,4,37021512048.8158,,,7673.0
7673.0,2008,38,4,35895153327.8497,,,
7677.0,2012,38,4,50412754821.9795,,,7695.0
7695.0,2010,38,4,39999659233.7555,,,7586.0
7586.0,2012,38,2,43310721414.0829,,,
7663.0,2014,38,2,55612228233.5179,,,7586.0
7586.0,2016,27,2,70529014778.3251,,,
7630.0,2017,27,2,,,,7586.0
7587.0,2012,39,2,43310721414.0829,,,
7689.0,2017,39,2,,,,7587.0
7587.0,2016,28,2,70529014778.3251,,,7643.0
7643.0,2016,28,2,70529014778.3251,,,
7588.0,2011,37,1,41953433591.4101,,,
7591.0,2011,42,4,41953433591.4101,,,7674.0
7637.0,2009,42,4,37021512048.8158,,,
7674.0,2010,42,4,39999659233.7555,,,7681.0
7681.0,2010,42,4,39999659233.7555,,,7637.0
7591.0,2011,33,2,41953433591.4101,,,
7692.0,2016,33,2,70529014778.3251,,,7591.0
7593.0,1999,50,4,,,,7665.0
7626.0,2004,50,4,,,,7593.0
7665.0,1998,50,4,,,,7672.0
7672.0,1998,50,4,,,,
7593.0,2003,39,1,14904517649.8476,,,
7593.0,2010,37,4,29933790334.3418,,,
7643.0,2010,37,4,29933790334.3418,,,7593.0
7691.0,2015,37,4,64464547915.2698,,,7643.0
7705.0,2015,37,4,64464547915.2698,,,7691.0
7593.0,2013,35,1,55097343447.5616,,,
7593.0,2015,32,7,27059447774.6626,56.0,172.0,7685.0
7640.0,2011,32,7,20176751242.0546,56.0,172.0,
7651.0,2017,32,7,,56.0,172.0,7666.0
7666.0,2016,32,7,24078931933.4578,56.0,172.0,7593.0
7670.0,2012,32,7,23132149256.9744,56.0,172.0,7640.0
7681.0,2012,32,7,23132149256.9744,56.0,172.0,7670.0
7685.0,2013,32,7,24599553471.8672,56.0,172.0,7681.0
7593.0,2015,32,2,63767539356.6051,,,
7652.0,2017,32,2,,,,7593.0
7594.0,2011,44,2,2616201578192.25,,,
7683.0,2012,44,2,2465188674415.03,,,7594.0
7594.0,2011,36,1,41953433591.4101,,,
7594.0,2015,32,1,63767539356.6051,,,
7595.0,2013,35,2,55097343447.5616,,,7637.0
7637.0,2012,35,2,50412754821.9795,,,
7595.0,2015,31,4,64464547915.2698,67.0,175.0,7666.0
7666.0,2013,31,4,47648211133.2183,67.0,175.0,7700.0
7690.0,2010,31,4,29933790334.3418,67.0,175.0,
7700.0,2012,31,4,43310721414.0829,67.0,175.0,7690.0
7596.0,2000,55,3,,,,7693.0
7675.0,1997,55,3,,,,
7693.0,1998,55,3,,,,7675.0
7596.0,2003,45,2,1848124153498.87,,,7698.0
7698.0,2002,45,2,1500337850555.24,,,
7598.0,2008,41,3,27066912635.2228,53.0,169.0,7610.0
7610.0,2007,41,3,19707616772.7996,53.0,169.0,
7672.0,2009,41,3,32437389116.038,53.0,169.0,7598.0
7600.0,2016,39,2,,61.0,178.0,7665.0
7665.0,2013,39,2,,61.0,178.0,
7601.0,2009,38,2,37021512048.8158,,,
7613.0,2011,38,2,41953433591.4101,,,7601.0
7603.0,2014,32,5,55612228233.5179,,,7633.0
7631.0,2013,32,5,47648211133.2183,,,7676.0
7633.0,2014,32,5,17098342541.4365,,,7631.0
